Epoch 1/100 | Loss: 0.5532 | Train Acc: 84.02% | Test Acc: 85.19% | LR: 0.001000
Epoch 2/100 | Loss: 0.4017 | Train Acc: 86.48% | Test Acc: 87.37% | LR: 0.001000
Epoch 3/100 | Loss: 0.3661 | Train Acc: 88.19% | Test Acc: 88.61% | LR: 0.001000
Epoch 4/100 | Loss: 0.3433 | Train Acc: 88.08% | Test Acc: 88.77% | LR: 0.001000
Epoch 5/100 | Loss: 0.3282 | Train Acc: 89.36% | Test Acc: 89.62% | LR: 0.001000
Epoch 6/100 | Loss: 0.3184 | Train Acc: 89.23% | Test Acc: 89.59% | LR: 0.001000
Epoch 7/100 | Loss: 0.3099 | Train Acc: 87.95% | Test Acc: 87.95% | LR: 0.001000
Epoch 8/100 | Loss: 0.3022 | Train Acc: 90.13% | Test Acc: 89.92% | LR: 0.001000
Epoch 9/100 | Loss: 0.2976 | Train Acc: 90.12% | Test Acc: 90.11% | LR: 0.001000
Epoch 10/100 | Loss: 0.2922 | Train Acc: 90.09% | Test Acc: 90.46% | LR: 0.001000
Epoch 11/100 | Loss: 0.2864 | Train Acc: 89.88% | Test Acc: 89.73% | LR: 0.001000
Epoch 12/100 | Loss: 0.2847 | Train Acc: 90.14% | Test Acc: 90.18% | LR: 0.001000
Epoch 13/100 | Loss: 0.2809 | Train Acc: 87.16% | Test Acc: 87.23% | LR: 0.001000
Epoch 14/100 | Loss: 0.2772 | Train Acc: 90.38% | Test Acc: 90.57% | LR: 0.001000
Epoch 15/100 | Loss: 0.2738 | Train Acc: 89.96% | Test Acc: 90.24% | LR: 0.001000
Epoch 16/100 | Loss: 0.2733 | Train Acc: 90.83% | Test Acc: 90.30% | LR: 0.001000
Epoch 17/100 | Loss: 0.2693 | Train Acc: 90.61% | Test Acc: 90.34% | LR: 0.001000
Epoch 18/100 | Loss: 0.2703 | Train Acc: 91.11% | Test Acc: 90.82% | LR: 0.001000
Epoch 19/100 | Loss: 0.2676 | Train Acc: 90.51% | Test Acc: 90.29% | LR: 0.001000
Epoch 20/100 | Loss: 0.2665 | Train Acc: 91.02% | Test Acc: 90.91% | LR: 0.001000
Epoch 21/100 | Loss: 0.2638 | Train Acc: 90.87% | Test Acc: 90.99% | LR: 0.001000
Epoch 22/100 | Loss: 0.2642 | Train Acc: 91.31% | Test Acc: 90.97% | LR: 0.001000
Epoch 23/100 | Loss: 0.2592 | Train Acc: 91.44% | Test Acc: 91.13% | LR: 0.001000
Epoch 24/100 | Loss: 0.2611 | Train Acc: 90.68% | Test Acc: 90.08% | LR: 0.001000
Epoch 25/100 | Loss: 0.2598 | Train Acc: 91.31% | Test Acc: 90.91% | LR: 0.001000
Epoch 26/100 | Loss: 0.2563 | Train Acc: 91.12% | Test Acc: 91.00% | LR: 0.001000
Epoch 27/100 | Loss: 0.2586 | Train Acc: 91.28% | Test Acc: 90.71% | LR: 0.001000
Epoch 28/100 | Loss: 0.2580 | Train Acc: 88.72% | Test Acc: 88.09% | LR: 0.001000
Epoch 29/100 | Loss: 0.2557 | Train Acc: 90.59% | Test Acc: 90.76% | LR: 0.000500
Epoch 30/100 | Loss: 0.2279 | Train Acc: 92.20% | Test Acc: 91.41% | LR: 0.000500
Epoch 31/100 | Loss: 0.2234 | Train Acc: 92.44% | Test Acc: 91.78% | LR: 0.000500
Epoch 32/100 | Loss: 0.2202 | Train Acc: 92.63% | Test Acc: 91.82% | LR: 0.000500
Epoch 33/100 | Loss: 0.2153 | Train Acc: 92.59% | Test Acc: 91.84% | LR: 0.000500
Epoch 34/100 | Loss: 0.2199 | Train Acc: 92.61% | Test Acc: 91.88% | LR: 0.000500
